Name,State,Level,Body Type,Body,Office,District / Area,Branch,Chamber,Party,Fan_edited_Party,Type,Inc Running,Incumbent,Inc. Party,Primary Date,Primary Result,General Date,General Result,General Vote %,Gender,Ethnicity,Fan_edited_ethnicity,Website,Notes,Year,,
Shiva Ayyadurai,MA,Federal,U.S. Senate,U.S. Senate,U.S. Senator,MA,Legis,Upper,R,R,Challenger,Yes,Ed Markey,D,9/1/2020,Lost,11/3/2020,Not in General,,M,Indian,Indian,,,2020,,
Suraj Patel,NY,Federal,U.S. House,U.S. House,U.S. Representative,NY-12,Legis,Lower,D,D,Challenger,Yes,Carolyn Maloney,D,6/23/2020,Lost,11/3/2020,Not in General,,M,Indian,Indian,https://www.surajpatel.nyc,,2020,,
Anita Malik,AZ,Federal,U.S. House,U.S. House,U.S. Representative,AZ-6,Legis,Lower,D,D,Challenger,Yes,David Schweikert,R,8/4/2020,Lost,11/3/2020,Not in General,,F,Indian,Indian,https://anitaforarizona.com/,,2020,,
Arati Kreibich,NJ,Federal,U.S. House,U.S. House,U.S. Representative,NJ-5,Legis,Lower,D,D,Challenger,Yes,Josh Gottheimer,D,6/2/2020,Lost,11/3/2020,Not in General,,F,Indian,Indian,https://www.aratiforcongress.com/,,2020,,
Henry Ota,CA,Federal,U.S. House,U.S House,U.S. Representative,CA-50,Legis,Lower,N,N,Open Seat,No,Duncan Hunter,R,3/3/2020,Lost,11/3/2020,Not in General,,M,,Japanese,http://henryota2020.com/,,2020,?,
Lauren Ashcraft,NY,Federal,U.S. House,U.S. House,U.S. Representative,NY-12,Legis,Lower,D,D,Challenger,Yes,Carolyn Maloney,D,6/23/2020,Lost,11/3/2020,Not in General,,F,Japanese,Japanese,https://laurenashcraft.com/,,2020,,
Albert Lee,OR,Federal,U.S. House,U.S. House,U.S. Representative,OR-03,Legis,Lower,D,D,Challenger,Yes,Earl Blumenauer,D,5/19/2020,Lost,11/3/2020,Not in General,,M,Korean,Korean,https://albertlee2020.com/,,2020,,
Eugene Yu,GA,Federal,U.S. House,U.S. House,U.S. Representative,GA-07,Legis,Lower,R,R,Open Seat,No,Rob Woodall,R,5/19/2020,Lost,11/3/2020,Not in General,,M,Korean,Korean,https://eugeneyuforcongress.com/,,2020,,
Lisa Song Sutton,NV,Federal,U.S. House,U.S. House,U.S. Representative,NV-04,Legis,Lower,R,R,Challenger,Yes,Steven Horsford,D,6/9/2020,Lost,11/3/2020,Not in General,,F,Korean,Korean,https://lisa4nevada.com/,,2020,,
Sandra Choi,NY,Federal,U.S. House,U.S. House,U.S. Representative,NY-06,Legis,Lower,D,D,Challenger,Yes,Grace Meng,D,6/23/2020,Lost,11/3/2020,Not in General,,F,Korean,Korean,,,2020,,
Sarah Sun Liew,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-33,Legis,Lower,R,R,Challenger,Yes,Ted Lieu,D,3/3/2020,Lost,11/3/2020,Not in General,,F,Korean,Korean,https://www.drsarahliewforcongress.com/,,2020,,
Solomon Rajput,MI,Federal,U.S. House,U.S. House,U.S. Representative,MI-12,Legis,Lower,D,D,Challenger,Yes,Debbie Dingell,D,8/4/2020,Lost,11/3/2020,Not in General,,M,Pakistani,Pakistani,https://www.solomonrajput.com/,,2020,,
Frances Yasmeen Motiwalla,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-34,Legis,Lower,D,D,Challenger,Yes,Jimmy Gomez,D,3/3/2020,Lost,11/3/2020,Not in General,,F,Pakistani,Pakistani,https://www.fym2020.com/,,2020,,
Sam Huang ,AZ,Federal,U.S. House,U.S. House,U.S. Representative,AZ-9,Legis,Lower,R,R,Challenger,Yes,Greg Stanton ,D,8/4/2020,Lost,11/3/2020,Not in General,,M,Taiwanese,Taiwanese,https://www.facebook.com/samhuang4congress/,,2020,,
Peggy Huang,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-45,Legis,Lower,R,R,Challenger,Yes,Katie Porter,D,3/3/2020,Lost,11/3/2020,Not in General,,F,Taiwanese,Taiwanese,https://www.peggyforcongress.com/,,2020,,
Whitney Williams,MI,Federal,U.S. House,U.S. House,U.S. Representative,MI-11,Legis,Lower,R,R,Challenger,Yes,Haley Stevens,D,8/4/2020,Lost,11/3/2020,Not in General,,F,Taiwanese,Taiwanese,https://winwithwhittney.com/,,2020,,
Shandon Phan,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-22,Legis,Lower,R,R,Open Seat,No,Pete Olson,R,3/3/2020,Lost,11/3/2020,Not in General,,M,Vietnamese,Vietnamese,https://shandonphan.com/about-shandon-phan/,,2020,,
Tanner Do,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-03,Legis,Lower,D,D,Challenger,Yes,Van Taylor,R,3/3/2020,Lost,11/3/2020,Not in General,,M,Vietnamese,Vietnamese,https://secure.actblue.com/donate/tannerdo2020,,2020,,
Tuan Phan,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-15,Legis,Lower,D,D,Challenger,Yes,Eric Swalwell,D,3/3/2020,Lost,11/3/2020,Not in General,,M,Vietnamese,Vietnamese,https://www.tuanvphan.com/,,2020,,
Amy Phan West,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-47,Legis,Lower,R,R,Challenger,Yes,Ala Lowenthal,D,3/3/2020,Lost,11/3/2020,Not in General,,F,Vietnamese,Vietnamese,https://amyphanwestforcongress.com/,,2020,,
Tom Hwang ,OH,Federal,U.S. House,U.S. House of Representatives,Congressman,District 15,Legis,,R,R,Open Seat,No,,,8/3/2021,Lost,11/2/2021,Not in General,,M,Chinese,Chinese,https://www.tomforohio.com/,,2021,,
Donna Imam,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-31,Legis,Lower,D,D,Challenger,Yes,John Carter,R,3/3/2020,Runoff,11/3/2020,Lost,,F,Bangladeshi ,Bangladeshi ,https://votefordonna.com/,,,,
Kiani Gardner,AL,Federal,U.S. House,U.S. House,U.S. Representative,AL-1,Legis,Lower,D,D,Open Seat,No,Bradley Byrne,R,3/3/2020,Runoff,11/3/2020,Not in General,,F,Hawaiian,Hawaiian,https://kianigardner.com/,Lost runoff on July 14,2020,,
Pritesh Gandhi,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-10,Legis,Lower,D,D,Challenger,Yes,Michael McCaul ,R,3/3/2020,Runoff,11/3/2020,Not in General,,M,Indian,Indian,https://www.gandhifortexas.com/,Lost in runoff on July 14,2020,,
Kiran Sreepada,TN,Federal,U.S. House,U.S. House,U.S. Representative,District 7,Legis,Lower,D,D,Challenger,Yes,Mark Green,R,8/6/2020,Unopposed,11/3/2020,Lost,,M,,Indian,https://www.kiranforcongress.com/,,2020,,
Olis Bahari,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-10,Legis,Lower,I,I,Challenger,Yes,Michael McCaul,I,3/3/2020,Unopposed,11/3/2020,Lost,,M,,Indian,,,2020,,
Judy Chu ,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-27,Legis,Lower,D,D,Incumbent,Yes,Judy Chu,D,3/3/2020,Unopposed,11/3/2020,Won,,F,Chinese,Chinese,https://www.judychu.org/index.php,,2020,,
Gregorio Sablan,MP,Federal,U.S. House,U.S. House,U.S. Representative,MP-AL,Legis,Lower,D,D,Incumbent,Yes,Gregorio Sablan,D,,Unopposed,11/3/2020,Won,,M,,Northern  Mariana Islander,,,2020,,
Crystal Fletcher,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-24,Legis,Lower,D,D,Open Seat,No,Kenny Marchant,R,3/3/2020,Withdrew,11/3/2020,Not in General,,F,,????,https://www.crystalfletcherforcongress.com/,,2020,,
Elisa Cardnell,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-02,Legis,Lower,D,D,Challenger,Yes,Daniel Crenshaw,R,3/3/2020,Withdrew,11/3/2020,Not in General,,F,,????,https://www.elisacardnell.com/,,2020,,
Jacqueline Tseng,GA,Federal,U.S. House,U.S. House,U.S. Representative,GA-07,Legis,Lower,R,R,Open Seat,No,Rob Woodall,R,5/19/2020,Withdrew,11/3/2020,Not in General,,F,Cambodian,Cambodian,https://tsengforcongress.com/,,2020,,
Aditya Pai,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-45,Legis,Lower,D,D,Challenger,Yes,Katie Porter,D,3/3/2020,Withdrew,11/3/2020,Not in General,,M,Indian,Indian,http://www.paifor45.com/,,2020,,
Arjun Srinivasan,TX,Federal,U.S. Senate,U.S. Senate,U.S. Senator,TX,Legis,Upper,I,I,Challenger,Yes,John Cornyn,R,3/3/2020,Withdrew,11/3/2020,Not in General,,M,Indian,Indian,https://www.linkedin.com/in/arjunsrinivasan/,,2020,,
Usha Reddi,KS,Federal,U.S. Senate,U.S. Senate,U.S. Senator,KS,Legis,Upper,D,D,Open Seat,No,Pat Roberts,R,8/4/2020,Withdrew,11/3/2020,Not in General,,F,Indian,Indian,https://ushareddi.com/about/,,2020,,
Mohammed Faheem,IL,Federal,U.S. House,U.S. House,U.S. Representative,IL-08,Legis,Lower,D,D,Challenger,Yes,Raja Krishnamoorthi,D,3/17/2020,Withdrew,11/3/2020,Not in General,,M,,Indian,http://faheemforcongress.com/,,2020,https://ballotpedia.org/Mohammed_Faheem,
Heerak Christian Kim,VA,Federal,U.S. House,U.S. House ,U.S. Representative ,VA-8,Legis,Lower,R,R,Challenger,Yes,Don Beyer ,D,,Withdrew,11/3/2020,Not in General,,M,Korean,Korean,www.HeerakForCongress.com,,2020,,
Kamala Harris,CA,Federal,Executive,,President,United States,Exec,,D,D,Challenger,Yes,Donald Trump,R,3/3/2020,Withdrew,11/3/2020,Not in General,,F,"Jamaican,Indian",Mixed,,,2020,"Jamaican,Indian",
Mohammad Arif,AZ,Federal,U.S. Senate,U.S. Senate,U.S. Senator,AZ-2,Legis,Upper,D,D,Challenger,Yes,Martha McSally,R,8/4/2020,Withdrew,11/3/2020,Not in General,,M,Pakistani,Pakistani,http://www.arif2020.com/,,2020,,
Tulsi Gabbard,HI,Federal,U.S. House,U.S. House,U.S. Representative,HI-02,Legis,Lower,D,D,Incumbent,No,Tulsi Gabbard,D,,Withdrew,11/3/2020,Not in General,,F,Samoan,Samoan,https://www.votetulsi.com/,,2020,,
Preeti Panchal,MD,Federal,U.S. House,U.S. House,U.S. Representative,MD-06,Legis,Lower,D,D,Challenger,Yes,David Trone,D,4/28/2020,Withdrew,11/3/2020,Not in General,,F,,South Asian,,,2020,Based on last name,
Andrew Yang ,NY,Federal,Executive,,President,United States,Exec,,D,D,Challenger,Yes,Donald Trump,R,,Withdrew,11/3/2020,Not in General,,M,Taiwanese,Taiwanese,https://www.yang2020.com/,,2020,,
Nhat-Nam Pham,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-32,Legis,Lower,R,R,Challenger,Yes,Collin Allred,D,3/3/2020,Withdrew,11/3/2020,Not in General,,M,,Vietnamese,,,2020,https://www.linkedin.com/in/nhat-nam-peter-pham-21492247/,
Vi Tran,WV,Federal,U.S. House,U.S. House,U.S. Representative,WV-01,Legis,Lower,D,D,Challenger,Yes,David McKinley,R,5/12/2020,Withdrew,11/3/2020,Not in General,,F,,Vietnamese,https://www.vitranforcongress.com/,,2020,https://acluva.org/en/news/vi-tran-i-have-never-taken-granted-freedoms-i-enjoy-because-my-parents-sacrificed-so-much,
Jay Chen,CA,Federal,U.S. House,U.S.,State Representative,CA-39,Legis,,D,D,Challenger,Yes,Gil Cisneros,D,3/3/2020,Withdrew,11/3/2020,Not in General,,M,Taiwanese,Taiwanese,,,,,
John Hsu,NJ,Federal,U.S. House,U.S. House,U.S. Representative,NJ-06,Legis,Lower,D,D,Challenger,Yes,Frank Pallone,D,6/2/2020,Withdrew,11/3/2020,Withdrew,,M,,Chinese,http://johnhsu2020.com/,,2020,"Based on last name, I think he's Chinese. Can't find info online",
Joanne Mantilla,PA,Federal,U.S. House,U.S. House,U.S. Representative,PA-02,Legis,Lower,D,D,Challenger,Yes,Brendan Boyle,D,4/28/2020,Withdrew,11/3/2020,Withdrew,,F,Filipino,Filipino,https://www.mantilla2020.com/,,2020,,
TJ Cox,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-21,Legis,Lower,D,D,Incumbent,Yes,TJ Cox,D,3/3/2020,Won,11/3/2020,Lost,,M,"Chinese,Filipino","Chinese,Filipino",,,2020,,
Gina Ortiz Jones,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-23,Legis,Lower,D,D,Challenger,No,Will Hurd,R,3/3/2020,Won,11/3/2020,Lost,46.50%,F,Filipino,Filipino,https://ginaortizjones.com/,"LGBT, Air Force veteran (Gautam knows her)",2020,,
Dr. Rik Mehta,NJ,Federal,U.S. Senate,U.S. Senate,U.S. Senator,NJ,Legis,Upper,R,R,Challenger,Yes,Cory Booker,D,7/7/2020,Won,11/3/2020,Lost,37.50%,M,Indian,Indian,https://rikfornj.com/,,2020,,
Rishi Kumar,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-18,Legis,Lower,D,D,Challenger,Yes,Anna Eshoo,D,3/3/2020,Won,11/3/2020,Lost,65.80%,M,,Indian,http://www.rishikumar.com/,,2020,,
Ritesh Tandon,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-17,Legis,Lower,R,R,Challenger,Yes,Ro Khanna,D,3/3/2020,Won,11/3/2020,Lost,25.90%,M,Indian,Indian,https://www.tandonforcongress.com/,,2020,,
Hiral Tipirneni,AZ,Federal,U.S. House,U.S. House,U.S. Representative,AZ-6,Legis,Lower,D,D,Challenger,Yes,David Schweikert,R,8/4/2020,Won,11/3/2020,Lost,47.90%,F,Indian,Indian,http://hiralforcongress.com/,Immigrant,2020,,
Manga Anantatmula,VA,Federal,U.S. House,U.S. House,U.S. Representative,District 11,Legis,Lower,R,R,Challenger,Yes,Gerald Connolly,D,6/20/2020,Won,11/3/2020,Lost,28.30%,F,Indian,Indian,https://manga4va11.com/,,2020,,
Sara Gideon,ME,Federal,U.S. Senate,U.S. Senate,U.S. Senator,ME,Legis,Upper,D,D,Challenger,Yes,Susan Collins,R,6/9/2020,Won,11/3/2020,Lost,43.10%,F,Indian,Indian,https://saragideon.com/,,2020,,
Sima Ladjevardian,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-2,Legis,Lower,D,D,Challenger,Yes,Daniel Crenshaw,R,3/3/2020,Won,11/3/2020,Lost,42.30%,F,Iranian ,Iranian ,https://www.simafortx.com/,,2020,,
David Kim,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-34,Legis,Lower,D,D,Challenger,Yes,Jimmy Gomez,D,3/3/2020,Won,11/3/2020,Lost,46.90%,M,,Korean,,,2020,,
Sri Preston Kulkarni,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-22,Legis,Lower,D,D,Open Seat,No,Pete Olson,R,3/3/2020,Won,11/3/2020,Lost,44.40%,M,,Mixed,https://www.kulkarniforcongress.com/,,2020,Indian/White,
Shahid Buttar,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-12,Legis,Lower,D,D,Challenger,Yes,Nancy Pelosi,D,3/3/2020,Won,11/3/2020,Lost,20.00%,M,,Pakistani,https://www.shahidforchange.us/,,2020,,
Qasim Rashid,VA,Federal,U.S. House,U.S. House,U.S. Representative,District 1,Legis,Lower,D,D,Challenger,Yes,Robert Wittman,R,6/23/2020,Won,11/3/2020,Lost,41.70%,M,Pakistani,Pakistani,https://rashidforva.com/,,2020,,
Alyse Galvin,AK,Federal,U.S. House,U.S. House,U.S. Representative,AK At-Large,Legis,Lower,I,I,Challenger,Yes,Don Young,R,8/18/2020,Won,11/3/2020,Lost,45.30%,F,,????,https://www.alyse4alaska.com/,,,,
Lulu Seikaly,TX,Federal,U.S. House,U.S. House,U.S. Representative,TX-3,Legis,,D,D,Challenger,Yes,Van Taylor,R,7/14/2020,Won,11/3/2020,Lost,42.80%,F,,Arab,,,,,
Jonathan Hoomanawanui,HI,Federal,U.S. House,U.S. House,U.S Representative,HI-02,Legis,Lower,D,D,Open Seat,No,Tulsi Gabbard,D,4/4/2020,Won,11/3/2020,Lost,2.40%,M,,Hawaiian,http://jhoomanawanui.com/,,,,
Sargis Sangari,IL,Federal,U.S. House,U.S. House of Representatives,Representative,IL-09,Legis,,R,R,Challenger,Yes,Jan Schakowsky,D,3/17/2020,Won,11/3/2020,Lost,32.40%,M,Iranian ,Iranian ,,,,,
Grace Meng,NY,Federal,U.S. House,U.S. House,U.S. Representative,NY-06,Legis,Lower,D,D,Incumbent,Yes,Grace Meng,D,6/23/2020,Won,11/3/2020,Won,62.60%,F,,Chinese,http://gracefornewyork.com/,,2020,,
Michael San Nicolas,GU,Federal,U.S. House,U.S. House,U.S. Representative,GU-AL,Legis,Lower,D,D,Incumbent,Yes,Michael San Nicolas,D,,Won,11/3/2020,Won,59.60%,M,Guamanian,Guamanian,,,2020,,
Kaiali'i Kahele,HI,Federal,U.S. House,U.S. House,U.S. Representative,HI-02,Legis,Lower,D,D,Open Seat,No,Tulsi Gabbard,D,8/8/2020,Won,11/3/2020,Won,63.00%,M,Hawaiian,Hawaiian,https://www.kaikahele.com/,,2020,,
Ami Bera,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-07,Legis,Lower,D,D,Incumbent,Yes,Ami Bera,D,3/3/2020,Won,11/3/2020,Won,61.00%,M,Indian,Indian,http://www.beraforcongress.com/,,2020,,
Raja Krishnamoorthi,IL,Federal,U.S. House,U.S. House,U.S. Representative,IL-08,Legis,Lower,D,D,Incumbent,Yes,Raja Krishnamoorthi,D,3/17/2020,Won,11/3/2020,Won,71.00%,M,Indian,Indian,http://rajaforcongress.com/,,2020,,
Ro Khanna,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-17,Legis,Lower,D,D,Incumbent,Yes,Ro Khanna,D,3/3/2020,Won,11/3/2020,Won,74.10%,M,,Indian,http://www.rokhanna.com/,,2020,,
Pramila Jayapal,WA,Federal,U.S. House,U.S. House,U.S. Representative,WA-07,Legis,Lower,D,D,Incumbent,Yes,Pramila Jayapal,D,,Won,11/3/2020,Won,84.60%,F,Indian,Indian,https://www.pramilaforcongress.com/,,2020,,
Mark Takano,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-41,Legis,Lower,D,D,Incumbent,Yes,Mark Takano,D,3/3/2020,Won,11/3/2020,Won,64.50%,M,Japanese,Japanese,https://marktakano.com/,,2020,,
Doris Matsui,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-06,Legis,Lower,D,D,Incumbent,Yes,Doris Matsui,D,3/3/2020,Won,11/3/2020,Won,76.60%,F,Japanese,Japanese,http://www.matsuiforcongress.com/,,2020,,
Andy Kim,NJ,Federal,U.S. House,U.S. House,U.S. Representative,NJ-3,Legis,Lower,D,D,Incumbent,Yes,Andy Kim,D,6/2/2020,Won,11/3/2020,Won,54.30%,M,Korean,Korean,https://www.andykimforcongress.com/,,2020,,
Michelle Steel,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-48,Legis,Lower,R,R,Challenger,Yes,Harley Rouda,D,3/3/2020,Won,11/3/2020,Won,50.90%,F,Korean,Korean,http://www.michellesteelca.com,,2020,,
Young Kim,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-39,Legis,Lower,R,R,Challenger,Yes,Gil Cisneros ,R,3/3/2020,Won,11/3/2020,Won,50.60%,F,Korean,Korean,https://www.youngkimforcongress.com/,,2020,,
Bobby Scott,VA,Federal,U.S. House,U.S. House,U.S. Representative,VA-03,Legis,Lower,D,D,Incumbent,Yes,Bobby Scott,D,6/9/2020,Won,11/3/2020,Won,68.40%,M,,Mixed,http://www.bobbyscottforcongress.com/,,2020,Black/Filipino,
Marilyn Strickland,WA,Federal,U.S. House,U.S. House,U.S. Representative,WA-10,Legis,Lower,D,D,Open Seat,No,,,8/4/2020,Won,11/3/2020,Won,50.20%,F,Korean,Mixed,https://stricklandforwashington.com/,,2020,Black/Korean,
Amata Radewagen,AS,Federal,U.S. House,U.S. House,U.S. Representative,AS-AL,Legis,Lower,R,R,Incumbent,Yes,Amata Radewagen,R,,Won,11/3/2020,Won,83.30%,F,,Samoan,,,2020,,
Ted Lieu,CA,Federal,U.S. House,U.S. House,U.S. Representative,CA-33,Legis,Lower,D,D,Incumbent,Yes,Ted Lieu,D,3/3/2020,Won,11/3/2020,Won,70.30%,M,Taiwanese,Taiwanese,http://www.tedlieu.com/,,2020,,
Stephanie Murphy,FL,Federal,U.S. House,U.S. House,U.S. Representative,FL-07,Legis,Lower,D,D,Incumbent,Yes,Stephanie Murphy,D,,Won,11/3/2020,Won,55.30%,F,Vietnamese,Vietnamese,http://www.stephaniemurphyforcongress.com/,,2020,,
Sery Kim,TX,Federal,U.S. House,U.S. House of Representatives,Congresswoman,TX-06,Legis,Lower,R,R,Open Seat,No,,,,,5/1/2021,Lost,46.70%,F,Korean,Korean,https://seryfortexas.com/,,2021,,
Victoria Virasingh,VA,Federal,U.S. House,U.S. House of Representatives,Congresswoman,District 8,Legis,,D,D,,Yes,Donald Sternoff Beyer Jr.,,6/21/2022,,11/8/2022,,,F,Indian,Indian,https://www.victoriaforcongress.com/?fbclid=IwAR2woyXkC2jpiMtO8b9HA3-AIHpA0MYfLNuLB7NjSHLSexF6_9hMfyHmUGM,,2022,,
Hoan Huynh,IL,Federal,U.S. House,U.S. House of Representatives,Congressman,IL-05,Legis,,D,D,Open Seat,Yes,Mike Quigley,D,,,11/8/2022,,,M,Vietnamese,Vietnamese,https://votehoan.com/,,2022,,
Hung Cao,VA,Federal,U.S. House,U.S. House of Representatives,Congressperson,District 10,Legis,Lower,R,R,Challenger,Yes,Jennifer Wexton,D,5/21/2022,,11/8/2022,,,M,Vietnamese,Vietnamese,https://www.hungcaoforcongress.com/,,2022,,
Ken Russell,FL,Federal,U.S. Senate,U.S. Senate,Senator,,Legis,,D,D,Challenger,Yes,Marco Rubio,R,8/23/2022,,11/8/2022,,,M,Japanese,Japanese,https://kenrussellforflorida.com/,,,,
Jennifer Tang ,CA,Local,City Council,City of Monterey Park City Council ,Councilmember ,District 2 ,Legis,,,,,,,,3/3/2020,Lost,,Not in General,,F,,Cambodian,,,2020,https://www.ballotbreakers.com/home/jennifer-tang My parents are survivors of the Cambodian genocide,
Yilin Zhang,DC,Local,City Council,Council of the District of Columbia,Councilmember,Ward 2,Legis,,D,D,Open Seat,No,Jack Evans,D,6/16/2020,Lost,,Not in General,,F,Chinese,Chinese,https://www.yilinforward2.com/,,2020,,
Kishan Putta,DC,Local,City Council,Council of the District of Columbia,Councilmember,Ward 2,Legis,,D,D,Open Seat,No,Jack Evans,D,6/16/2020,Lost,,Not in General,,M,Indian,Indian,https://kishanfordc.com/about-kishan/,,2020,,
Nitin Naidu ,MI,Local,City Council,Berkley City Council,Councilmember,,Legis,,,,Challenger,,,,11/5/2019,Lost,,Not in General,,M,Indian,Indian,https://www.facebook.com/NaiduForBerkley/,,2020,,
